type,geometry.type,geometry.coordinates,properties.id_station,properties.denominazione,properties.rete,properties.interesse_rete,properties.tipologia_di_stazione,properties.tipologia_di_area,properties.comune,properties.provincia,properties.paese,properties.paese_esteso,properties.inquinante_misurato,properties.valore_inquinante_misurato,properties.limite,properties.superamenti,properties.unita_misura,properties.indice_qualita,properties.data_di_misurazione,properties.responsabile_dato,properties.punto_di_contatto,properties.sorgente,properties.version,properties.marker-color,properties.name
Feature,Point,"[16.845278, 41.134724]",90,Bari - CUS,RRQA,PUBBLICO,Traffico,Suburbana,Bari,Bari,IT,Italy,NO2,,200.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Bari - CUS
Feature,Point,"[16.845278, 41.134724]",90,Bari - CUS,RRQA,PUBBLICO,Traffico,Suburbana,Bari,Bari,IT,Italy,O3,,180.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Bari - CUS
Feature,Point,"[16.845278, 41.134724]",90,Bari - CUS,RRQA,PUBBLICO,Traffico,Suburbana,Bari,Bari,IT,Italy,PM10,,50.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Bari - CUS
Feature,Point,"[16.858906, 41.099594]",55,Bari - Kennedy,RRQA,PUBBLICO,Fondo,Urbana,Bari,Bari,IT,Italy,NO2,,200.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Bari - Kennedy
Feature,Point,"[16.858906, 41.099594]",55,Bari - Kennedy,RRQA,PUBBLICO,Fondo,Urbana,Bari,Bari,IT,Italy,O3,,180.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Bari - Kennedy
Feature,Point,"[16.858906, 41.099594]",55,Bari - Kennedy,RRQA,PUBBLICO,Fondo,Urbana,Bari,Bari,IT,Italy,PM10,,50.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Bari - Kennedy
Feature,Point,"[16.745277, 41.079166]",106,Bitonto - EN01,RRQA,PRIVATO,Industriale,Suburbana,Bitonto,Bari,IT,Italy,CO,,10.0,0,mg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Bitonto - EN01
Feature,Point,"[16.745277, 41.079166]",106,Bitonto - EN01,RRQA,PRIVATO,Industriale,Suburbana,Bitonto,Bari,IT,Italy,NO2,,200.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Bitonto - EN01
Feature,Point,"[16.745277, 41.079166]",106,Bitonto - EN01,RRQA,PRIVATO,Industriale,Suburbana,Bitonto,Bari,IT,Italy,O3,,180.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Bitonto - EN01
Feature,Point,"[16.745277, 41.079166]",106,Bitonto - EN01,RRQA,PRIVATO,Industriale,Suburbana,Bitonto,Bari,IT,Italy,PM10,,50.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Bitonto - EN01
